zcta5,year,amenity_source_rows,amenity_type_count,amenity_est_total,amenity_employee_bucket_total,amenity_est_bucket_gap,amenities_observed,amenity_est_coffee_shops,amenity_est_fitness,amenity_est_parks,amenity_est_restaurants,amenity_emp_1000_plus,amenity_emp_100_249,amenity_emp_10_19,amenity_emp_1_4,amenity_emp_20_49,amenity_emp_250_499,amenity_emp_500_999,amenity_emp_50_99,amenity_emp_5_9,amenities_population_for_rate,amenity_per_10k_total,amenity_per_10k_bucket_gap,amenity_per_10k_coffee_shops,amenity_per_10k_fitness,amenity_per_10k_parks,amenity_per_10k_restaurants
90005,2015,3,3,101,101,0,True,18,2,0,81,0,0,17,48,10,0,0,3,23,38979.0,25.911388183380794,0.0,4.617871161394597,0.5130967957105108,0.0,20.780420226275687
90005,2016,3,3,97,97,0,True,18,1,0,78,0,0,16,46,15,0,0,3,17,39338.0,24.658091412883216,0.0,4.575728303421628,0.2542071279678682,0.0,19.828155981493722
90005,2017,2,2,110,107,3,True,19,0,0,91,0,0,15,52,18,0,0,3,19,39562.0,27.80445882412416,0.7583034224761134,4.802588342348718,0.0,0.0,23.00187048177544
90005,2018,2,2,109,106,3,True,23,0,0,86,0,0,19,47,17,0,0,0,23,39479.0,27.60961523848122,0.759897667114162,5.825882114541908,0.0,0.0,21.78373312393931
90005,2019,2,2,113,111,2,True,23,0,0,90,0,0,15,51,22,0,0,0,23,39732.0,28.44055169636565,0.5033725963958522,5.788784858552301,0.0,0.0,22.651766837813348
90005,2020,2,2,106,103,3,True,25,0,0,81,0,0,19,46,18,0,0,0,20,38885.0,27.25986884402726,0.7715057220007715,6.429214350006429,0.0,0.0,20.83065449402083
90005,2021,2,2,101,101,0,True,26,0,0,75,0,0,18,55,10,0,0,0,18,36910.0,27.363858033053372,0.0,7.044161473855324,0.0,0.0,20.319696559198047
90005,2022,3,3,109,105,4,True,25,4,0,80,0,0,27,45,13,0,0,0,20,37754.0,28.871112994649575,1.059490385124755,6.6218149070297185,1.059490385124755,0.0,21.1898077024951
90005,2023,3,3,108,100,8,True,21,3,0,84,0,0,26,37,17,0,0,0,20,38747.0,27.873125661341522,2.064675974914187,5.4197744341497405,0.77425349059282,0.0,21.679097736598962
90006,2012,2,2,79,79,0,True,9,0,0,70,0,0,14,36,7,0,0,2,20,58849.0,13.424187326887457,0.0,1.5293377967340143,0.0,0.0,11.894849530153444
