model,feature,source_group,max_abs_coefficient,sum_abs_coefficient,coefficient_terms
ridge_linear_regression,age_18_24_share,demographics,0.007241167932988901,0.007241167932988901,1
ridge_linear_regression,amenity_per_10k_parks,amenities,0.006400297375876107,0.006400297375876107,1
ridge_linear_regression,amenity_per_10k_fitness,amenities,0.006335417143418454,0.006335417143418454,1
ridge_linear_regression,amenity_per_10k_coffee_shops,amenities,0.005533109018870164,0.005533109018870164,1
ridge_linear_regression,log1p_n_schools,school_quality,0.005324554599155817,0.005324554599155817,1
ridge_linear_regression,male_share,demographics,0.003579382311727386,0.003579382311727386,1
ridge_linear_regression,race_two_or_more_share,demographics,0.003366073115103063,0.003366073115103063,1
ridge_linear_regression,annual_median_dom,listings,0.0029249221079226118,0.0029249221079226118,1
ridge_linear_regression,race_american_indian_or_alaska_native_alone_share,demographics,0.002447108050546376,0.002447108050546376,1
ridge_linear_regression,months_observed,listings,0.0019342205068824114,0.0019342205068824114,1
ridge_linear_regression,race_native_hawaiian_or_pacific_islander_alone_share,demographics,0.0017979801609726564,0.0017979801609726564,1
ridge_linear_regression,annual_months_of_supply_est,listings,0.0016307314590449096,0.0016307314590449096,1
ridge_linear_regression,overall_score_range,school_quality,0.00027272491115581943,0.00027272491115581943,1
