model,transformed_feature,coefficient,abs_coefficient,feature,source_group
ridge_linear_regression,numeric__age_0_17_share,-0.0642793592965063,0.0642793592965063,age_0_17_share,demographics
ridge_linear_regression,"categorical__parent_metro_region_Santa Cruz, CA",0.05930195851112785,0.05930195851112785,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_San Luis Obispo, CA",0.059224946727965744,0.059224946727965744,parent_metro_region,listings
ridge_linear_regression,numeric__annual_off_market_in_two_weeks,0.0589391814874034,0.0589391814874034,annual_off_market_in_two_weeks,listings
ridge_linear_regression,"categorical__parent_metro_region_Crescent City, CA",-0.0581393992458743,0.0581393992458743,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Santa Maria, CA",0.05700241684735374,0.05700241684735374,parent_metro_region,listings
ridge_linear_regression,numeric__foreign_born_total_share,0.05589365083960729,0.05589365083960729,foreign_born_total_share,demographics
ridge_linear_regression,"categorical__parent_metro_region_San Rafael, CA",0.05223073682782342,0.05223073682782342,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Truckee, CA",-0.050269699143100866,0.050269699143100866,parent_metro_region,listings
ridge_linear_regression,numeric__native_born_other_state_us_share,-0.046758798218434094,0.046758798218434094,native_born_other_state_us_share,demographics
ridge_linear_regression,numeric__crime_property_est_per_1k,-0.044812118761910824,0.044812118761910824,crime_property_est_per_1k,crime
ridge_linear_regression,numeric__race_asian_alone_share,-0.04344809233498381,0.04344809233498381,race_asian_alone_share,demographics
ridge_linear_regression,categorical__assessment_type_INTERPOLATED,0.04164661423101279,0.04164661423101279,assessment_type,school_quality
ridge_linear_regression,boolean__school_year_complete_True,-0.04164661423101279,0.04164661423101279,school_year_complete,school_quality
ridge_linear_regression,categorical__assessment_type_CST,0.0411566876082361,0.0411566876082361,assessment_type,school_quality
ridge_linear_regression,boolean__total_students_tested_unreliable_True,0.03830210371143039,0.03830210371143039,total_students_tested_unreliable,school_quality
ridge_linear_regression,numeric__annual_sold_above_list,-0.032492600958903495,0.032492600958903495,annual_sold_above_list,listings
ridge_linear_regression,numeric__foreign_born_25plus_bachelors_or_higher_share,-0.031055082290549763,0.031055082290549763,foreign_born_25plus_bachelors_or_higher_share,demographics
ridge_linear_regression,boolean__minimum_wage_imputed_True,-0.03078868024658732,0.03078868024658732,minimum_wage_imputed,minimum_wage
ridge_linear_regression,"categorical__parent_metro_region_Napa, CA",0.029933693964380836,0.029933693964380836,parent_metro_region,listings
ridge_linear_regression,numeric__crime_violent_est_per_1k,0.02969591089276946,0.02969591089276946,crime_violent_est_per_1k,crime
ridge_linear_regression,"categorical__parent_metro_region_Santa Rosa, CA",-0.029493233874063662,0.029493233874063662,parent_metro_region,listings
ridge_linear_regression,numeric__log_total_population,0.027891742320207413,0.027891742320207413,log_total_population,demographics
ridge_linear_regression,numeric__annual_homes_sold,-0.026733369770454374,0.026733369770454374,annual_homes_sold,listings
ridge_linear_regression,numeric__avg_pct_met_overall_z_assessment_year,0.025560133404724183,0.025560133404724183,avg_pct_met_overall_z_assessment_year,school_quality
ridge_linear_regression,"categorical__parent_metro_region_Los Angeles, CA",-0.025358123589626302,0.025358123589626302,parent_metro_region,listings
ridge_linear_regression,numeric__hispanic_or_latino_total_share,0.023533106453214714,0.023533106453214714,hispanic_or_latino_total_share,other
ridge_linear_regression,categorical__zcta_county_assignment_quality_multi_county_low_dominance,-0.02335565262092132,0.02335565262092132,zcta_county_assignment_quality,minimum_wage
