feature,feature_kind,source_group,missing_rate,n_unique,selected,exclusion_reason,preprocessing_kind
minimum_wage_county_area_weighted_annual_avg,numeric,minimum_wage,0.0,32,False,processing_artifact_or_duplicate_source_field,numeric
minimum_wage_county_area_weighted_year_start,numeric,minimum_wage,0.0,29,False,processing_artifact_or_duplicate_source_field,numeric
minimum_wage_dominant_county_annual_avg,numeric,minimum_wage,0.0,11,False,processing_artifact_or_duplicate_source_field,numeric
minimum_wage_dominant_county_geo_level,categorical,minimum_wage,0.0,1,False,processing_artifact_or_duplicate_source_field,categorical
minimum_wage_dominant_county_year_start,numeric,minimum_wage,0.0,10,False,processing_artifact_or_duplicate_source_field,numeric
minimum_wage_feature_method,categorical,minimum_wage,0.0,1,False,processing_artifact_or_duplicate_source_field,categorical
minimum_wage_for_model_year_start,numeric,minimum_wage,0.0,10,False,processing_artifact_or_duplicate_source_field,numeric
minimum_wage_local_premium_for_model_annual_avg,numeric,minimum_wage,0.0,1,False,constant_or_duplicate_minimum_wage_signal_in_train_test_window,numeric
phase2_has_minimum_wage,boolean,minimum_wage,0.0,1,False,constant_or_duplicate_minimum_wage_signal_in_train_test_window,boolean
state_minimum_wage_annual_avg,numeric,minimum_wage,0.0,11,False,processing_artifact_or_duplicate_source_field,numeric
state_minimum_wage_source,categorical,minimum_wage,0.0,2,False,processing_artifact_or_duplicate_source_field,categorical
state_minimum_wage_year_start,numeric,minimum_wage,0.0,10,False,processing_artifact_or_duplicate_source_field,numeric
zcta_county_area_share,numeric,minimum_wage,0.0,142,False,processing_artifact_or_duplicate_source_field,numeric
zcta_county_count,numeric,minimum_wage,0.0,4,False,processing_artifact_or_duplicate_source_field,numeric
avg_pct_met_ela,numeric,school_quality,0.1155253146034533,4165,False,school_raw_or_percentile_duplicate_of_selected_z_score_or_quality_flag,numeric
avg_pct_met_ela_pct_assessment_year,numeric,school_quality,0.1155253146034533,9229,False,school_raw_or_percentile_duplicate_of_selected_z_score_or_quality_flag,numeric
avg_pct_met_ela_z_assessment_year,numeric,school_quality,0.1155253146034533,9830,False,highly_collinear_with_avg_pct_met_overall_z_assessment_year,numeric
avg_pct_met_math,numeric,school_quality,0.1177933860111208,4749,False,school_raw_or_percentile_duplicate_of_selected_z_score_or_quality_flag,numeric
